run,step,loss,grad_norm,memory_gib,tps
bitnet,1,7.99145,76.0,1.3,87
bitnet,2,7.48985,74.5,1.37,632
bitnet,3,5.63282,65.0,1.37,1933
bitnet,4,4.61763,43.25,1.37,1927
bitnet,5,5.42161,85.5,1.37,1910
bitnet,6,6.25878,68.0,1.37,1939
bitnet,7,5.34768,28.0,1.37,1894
bitnet,8,4.97122,27.0,1.37,1916
bitnet,9,4.89959,15.25,1.37,1914
bitnet,10,4.113,11.25,1.37,1914
bitnet,11,4.34316,26.0,1.37,1940
bitnet,12,4.1695,11.5,1.37,1947
bitnet,13,3.88386,9.375,1.37,1927
bitnet,14,3.91563,9.6875,1.37,1949
bitnet,15,3.77057,7.1562,1.37,1939
bitnet,16,3.57603,5.6562,1.37,1917
bitnet,17,4.57935,7.9688,1.37,1915
bitnet,18,3.6857,6.875,1.37,1934
bitnet,19,3.83412,7.0938,1.37,1917
bitnet,20,3.4844,4.4062,1.37,1940
bitnet,21,3.36539,6.3125,1.37,1937
bitnet,22,3.79045,6.75,1.37,1942
bitnet,23,3.75259,5.75,1.37,1905
bitnet,24,3.3851,4.375,1.37,1937
bitnet,25,3.29377,6.625,1.37,1936
bitnet,26,3.44308,7.375,1.37,1932
bitnet,27,3.313,5.5625,1.37,1935
bitnet,28,3.21862,4.6875,1.37,1940
bitnet,29,3.89864,4.8438,1.37,1933
bitnet,30,5.11636,7.4062,1.37,1928
bitnet,31,5.69038,8.125,1.37,1937
bitnet,32,3.69596,6.1562,1.37,1922
bitnet,33,3.28204,4.7188,1.37,1909
bitnet,34,3.18522,4.125,1.37,1930
bitnet,35,3.20086,5.75,1.37,1948
bitnet,36,3.12917,4.4062,1.37,1935
bitnet,37,3.44197,5.0,1.37,1909
bitnet,38,3.39745,5.8438,1.37,1939
bitnet,39,3.10535,6.1562,1.37,1944
bitnet,40,3.79603,5.375,1.37,1951
bitnet,41,3.34739,3.7656,1.37,1904
bitnet,42,3.33114,4.7188,1.37,1947
bitnet,43,3.49932,5.0625,1.37,1954
bitnet,44,3.13726,5.1875,1.37,1947
bitnet,45,3.42782,5.6875,1.37,1944
bitnet,46,3.17622,3.4688,1.37,1941
bitnet,47,3.01371,3.0625,1.37,1934
bitnet,48,2.83394,3.5,1.37,1932
bitnet,49,3.11566,4.0625,1.37,1932
bitnet,50,3.0656,2.6094,1.37,1894
bitnet,51,3.01021,3.125,1.37,60
bitnet,52,2.84271,4.6562,1.37,1910
bitnet,53,2.97964,4.3438,1.37,1936
bitnet,54,3.41488,3.625,1.37,1913
bitnet,55,3.66699,5.2188,1.37,1948
bitnet,56,3.40182,4.0625,1.37,1902
bitnet,57,4.32007,5.5312,1.37,1935
bitnet,58,3.15786,4.4688,1.37,1938
bitnet,59,3.09292,4.3438,1.37,1940
bitnet,60,3.08263,4.4688,1.37,1938
bitnet,61,2.74475,3.5938,1.37,1932
bitnet,62,2.94659,3.8906,1.37,1931
bitnet,63,2.84889,4.0625,1.37,1902
bitnet,64,2.85604,2.9688,1.37,1937
bitnet,65,3.1634,3.0625,1.37,1926
bitnet,66,3.378,4.0938,1.37,1834
bitnet,67,3.55134,4.5938,1.37,1882
bitnet,68,3.34868,3.625,1.37,1937
bitnet,69,3.28076,3.6094,1.37,1944
bitnet,70,3.17849,3.4062,1.37,1931
bitnet,71,3.35551,3.6875,1.37,1933
bitnet,72,3.40682,3.7031,1.37,1929
bitnet,73,3.6902,4.5625,1.37,1910
bitnet,74,2.95022,5.0625,1.37,1943
bitnet,75,3.61181,4.7812,1.37,1933
bitnet,76,3.27332,4.5625,1.37,1926
bitnet,77,3.31689,3.6406,1.37,1780
bitnet,78,3.06832,4.2812,1.37,1910
bitnet,79,3.06133,2.8438,1.37,1932
bitnet,80,2.92566,3.3438,1.37,1925
bitnet,81,2.90583,3.9844,1.37,1930
bitnet,82,3.02061,4.0312,1.37,1929
bitnet,83,2.94863,3.4375,1.37,1945
bitnet,84,2.79373,3.3281,1.37,1934
bitnet,85,2.69243,2.5312,1.37,1929
bitnet,86,2.86866,3.5156,1.37,1927
bitnet,87,2.82172,2.7031,1.37,1931
bitnet,88,2.69992,4.0,1.37,1913
bitnet,89,2.72705,3.1406,1.37,1930
bitnet,90,2.79689,3.3438,1.37,1930
bitnet,91,2.85439,2.75,1.37,1924
bitnet,92,2.92425,3.5,1.37,1938
bitnet,93,2.79997,2.875,1.37,1907
bitnet,94,2.9271,3.1406,1.37,1944
bitnet,95,3.02797,2.9688,1.37,1928
bitnet,96,2.64968,2.9844,1.37,1916
bitnet,97,2.7761,3.3438,1.37,1908
bitnet,98,2.76881,2.8125,1.37,1926
bitnet,99,2.74542,2.9531,1.37,1922
bitnet,100,2.75976,2.5156,1.37,1912
