run,step,loss,grad_norm,memory_gib,tps
stock,1,8.12197,20.0,1.25,91
stock,2,8.0205,17.875,1.28,752
stock,3,8.02853,20.5,1.28,3705
stock,4,7.94295,14.0625,1.28,3687
stock,5,7.88928,20.25,1.28,3523
stock,6,7.7991,24.125,1.28,3719
stock,7,7.44294,22.125,1.28,3680
stock,8,7.23575,452.0,1.28,3710
stock,9,7.03593,32.0,1.28,3686
stock,10,6.67055,141.0,1.28,3724
stock,11,6.61655,80.5,1.28,3724
stock,12,6.13159,22.625,1.28,3706
stock,13,5.84878,19.125,1.28,3681
stock,14,5.27778,14.125,1.28,3716
stock,15,5.14751,21.625,1.28,3729
stock,16,4.81312,13.0,1.28,3702
stock,17,5.06103,10.6875,1.28,3627
stock,18,4.29598,10.375,1.28,3729
stock,19,4.29665,12.0625,1.28,3714
stock,20,3.80106,8.25,1.28,3665
stock,21,3.51793,8.375,1.28,3667
stock,22,3.87763,8.4375,1.28,3703
stock,23,3.67107,6.9688,1.28,3643
stock,24,3.5995,7.7812,1.28,3712
stock,25,3.31961,7.0938,1.28,3698
stock,26,3.5911,7.125,1.28,3730
stock,27,3.3968,6.5312,1.28,3741
stock,28,3.32099,5.9375,1.28,3703
stock,29,4.01938,6.4375,1.28,3637
stock,30,5.19781,8.4375,1.28,3708
stock,31,6.16529,9.875,1.28,3675
stock,32,3.90307,8.25,1.28,3605
stock,33,3.49476,7.4688,1.28,3590
stock,34,3.34142,6.0625,1.28,3653
stock,35,3.33172,6.4375,1.28,3706
stock,36,3.01424,4.8438,1.28,3676
stock,37,3.40612,5.75,1.28,3617
stock,38,3.30041,6.25,1.28,3743
stock,39,3.06719,7.0312,1.28,3718
stock,40,3.85296,7.625,1.28,3748
stock,41,3.41854,5.4062,1.28,3615
stock,42,3.27134,4.9375,1.28,3698
stock,43,3.45066,6.0,1.28,3737
stock,44,3.18761,6.0,1.28,3728
stock,45,3.2076,5.4688,1.28,3719
stock,46,3.11341,5.0312,1.28,3735
stock,47,3.04176,5.0625,1.28,3731
stock,48,2.8539,4.9062,1.28,3695
stock,49,3.14644,5.6562,1.28,3739
stock,50,3.14217,5.4688,1.28,3545
stock,51,3.02686,4.7812,1.28,67
stock,52,2.81401,5.5,1.28,3571
stock,53,2.95819,5.625,1.28,3709
stock,54,3.46412,5.0938,1.28,3636
stock,55,3.76006,7.4062,1.28,3707
stock,56,3.34907,5.1875,1.28,3597
stock,57,4.37297,7.5938,1.28,3567
stock,58,3.17313,6.1875,1.28,3690
stock,59,3.05225,5.2812,1.28,3609
stock,60,3.11191,6.1875,1.28,3712
stock,61,2.76819,4.9375,1.28,3706
stock,62,2.96899,4.7812,1.28,3702
stock,63,2.82177,4.5938,1.28,3694
stock,64,2.89528,4.6562,1.28,3697
stock,65,3.23124,4.875,1.28,3626
stock,66,3.43842,6.1875,1.28,3679
stock,67,3.52547,5.1562,1.28,3671
stock,68,3.48499,6.625,1.28,3675
stock,69,3.37341,5.25,1.28,3672
stock,70,3.33484,5.375,1.28,3695
stock,71,3.42851,5.75,1.28,3705
stock,72,3.40639,5.2812,1.28,3670
stock,73,3.61499,5.8125,1.28,3660
stock,74,2.94553,6.5312,1.28,3657
stock,75,3.65027,6.3125,1.28,3667
stock,76,3.2432,5.1875,1.28,3701
stock,77,3.33742,5.2188,1.28,3182
stock,78,3.07608,4.6875,1.28,3656
stock,79,3.04701,4.9375,1.28,3673
stock,80,2.85692,4.9688,1.28,3687
stock,81,2.89936,4.625,1.28,3695
stock,82,3.00195,4.5938,1.28,3678
stock,83,2.98118,4.6875,1.28,3687
stock,84,2.85966,4.75,1.28,3659
stock,85,2.74553,4.3438,1.28,3693
stock,86,2.90111,4.2188,1.28,3710
stock,87,2.84266,4.1562,1.28,3688
stock,88,2.79437,5.0625,1.28,3635
stock,89,2.71447,4.625,1.28,3686
stock,90,2.83426,4.4688,1.28,3694
stock,91,2.8661,4.375,1.28,3585
stock,92,2.83429,4.0312,1.28,3683
stock,93,2.80596,3.9531,1.28,3647
stock,94,2.99851,4.5625,1.28,3680
stock,95,3.04456,4.0625,1.28,3695
stock,96,2.76207,4.5938,1.28,3670
stock,97,2.8153,6.2188,1.28,3658
stock,98,2.83942,4.7188,1.28,3675
stock,99,2.86164,4.375,1.28,3665
stock,100,2.78636,3.8125,1.28,3565
