[rank0]:[titan] 2026-06-12 00:39:19,960 - root - INFO - step:  1  loss:  7.98490  grad_norm: 85.0000  memory:  1.23GiB(5.57%)  tps: 583  tflops: 0.61  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:20,410 - root - INFO - step:  2  loss:  6.38935  grad_norm: 79.5000  memory:  1.33GiB(6.04%)  tps: 2,280  tflops: 2.39  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:20,701 - root - INFO - step:  3  loss:  4.99643  grad_norm: 57.5000  memory:  1.33GiB(6.04%)  tps: 3,526  tflops: 3.70  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:20,992 - root - INFO - step:  4  loss:  5.52202  grad_norm: 59.7500  memory:  1.33GiB(6.04%)  tps: 3,520  tflops: 3.69  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:21,283 - root - INFO - step:  5  loss:  5.34968  grad_norm: 42.5000  memory:  1.33GiB(6.04%)  tps: 3,515  tflops: 3.69  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:21,575 - root - INFO - step:  6  loss:  4.82821  grad_norm: 28.0000  memory:  1.33GiB(6.04%)  tps: 3,514  tflops: 3.68  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:21,866 - root - INFO - step:  7  loss:  5.31408  grad_norm: 76.5000  memory:  1.33GiB(6.04%)  tps: 3,517  tflops: 3.69  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:22,156 - root - INFO - step:  8  loss:  4.22966  grad_norm: 20.1250  memory:  1.33GiB(6.04%)  tps: 3,532  tflops: 3.70  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:22,446 - root - INFO - step:  9  loss:  4.26876  grad_norm: 12.6875  memory:  1.33GiB(6.04%)  tps: 3,532  tflops: 3.70  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:22,743 - root - INFO - step: 10  loss:  4.21808  grad_norm: 22.0000  memory:  1.33GiB(6.04%)  tps: 3,455  tflops: 3.62  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:23,036 - root - INFO - step: 11  loss:  3.87732  grad_norm: 12.1250  memory:  1.33GiB(6.04%)  tps: 3,492  tflops: 3.66  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:23,329 - root - INFO - step: 12  loss:  3.61023  grad_norm:  9.4375  memory:  1.33GiB(6.04%)  tps: 3,497  tflops: 3.67  mfu: N/A
[rank0]:[titan] 2026-06-12 00:39:23,623 - root - INFO - step: 13  loss:  3.43809  grad_norm:  9.9375  memory:  1.33GiB(6.04%)  tps: 3,487  tflops: 3.66  mfu: N/A
